iter	Passed	Remaining
877	32206	4475
878	32240	4438
879	32275	4401
880	32308	4364
881	32342	4327
882	32376	4289
883	32412	4253
884	32448	4216
885	32481	4179
886	32516	4142
887	32551	4105
888	32585	4068
889	32619	4031
890	32656	3995
891	32691	3958
892	32725	3921
893	32759	3884
894	32793	3847
895	32828	3810
896	32864	3773
897	32898	3736
898	32932	3699
899	32966	3662
900	33001	3626
901	33035	3589
902	33069	3552
903	33121	3517
904	33154	3480
905	33186	3443
906	33220	3406
907	33255	3369
908	33290	3332
909	33324	3295
910	33357	3258
911	33392	3222
912	33427	3185
913	33461	3148
914	33495	3111
915	33531	3074
916	33566	3038
917	33601	3001
918	33636	2964
919	33670	2927
920	33704	2891
921	33739	2854
922	33775	2817
923	33809	2780
924	33844	2744
925	33880	2707
926	33917	2670
927	33953	2634
928	33988	2597
929	34025	2561
930	34060	2524
931	34095	2487
932	34130	2450
933	34166	2414
934	34202	2377
935	34239	2341
936	34274	2304
937	34311	2267
938	34347	2231
939	34382	2194
940	34417	2157
941	34452	2121
942	34486	2084
943	34523	2048
944	34559	2011
945	34596	1974
946	34645	1938
947	34682	1902
948	34718	1865
949	34754	1829
950	34790	1792
951	34825	1755
952	34865	1719
953	34902	1682
954	34938	1646
955	34974	1609
956	35008	1573
957	35043	1536
958	35078	1499
959	35115	1463
960	35151	1426
961	35188	1389
962	35225	1353
963	35261	1316
964	35296	1280
965	35333	1243
966	35368	1206
967	35402	1170
968	35438	1133
969	35473	1097
970	35508	1060
971	35546	1023
972	35582	987
973	35621	950
974	35656	914
975	35692	877
976	35729	841
977	35767	804
978	35803	767
979	35838	731
980	35874	694
981	35912	658
982	35949	621
983	35988	585
984	36024	548
985	36059	512
986	36097	475
987	36133	438
988	36171	402
989	36209	365
990	36245	329
991	36282	292
992	36318	256
993	36354	219
994	36391	182
995	36428	146
996	36464	109
997	36500	73
998	36536	36
999	36571	0
